status,stop_id,city,direction,name,cross,routes,owl_routes,street,position,x,y,latitude,longitude
In Service,2301,CHICAGO,NB,6200 S State,6200 SOUTH,29,,STATE,MB,358861.57907277474,568163.475791648,41.782283,-87.625273
In Service,2302,CHICAGO,NB,State & 61st Street,61ST STREET (north leg),29,,STATE,FS,358856.3144345164,568358.5908582171,41.78404,-87.625317
In Service,2303,CHICAGO,NB,State & 60th Street,60TH STREET,29,,STATE,NS,358852.1191836446,568504.6197092595,41.785355,-87.625353
In Service,2304,CHICAGO,NB,State & 59th Street,59TH STREET,29,,STATE,NS,358846.0162384711,568700.6165759468,41.78712,-87.625407
In Service,2305,CHICAGO,NB,State & 58th Street,58TH STREET,29,,STATE,NS,358840.5244156648,568913.2797703834,41.789035,-87.625452
In Service,2306,CHICAGO,NB,State & 57th Street,57TH STREET,29,,STATE,NS,358835.15437220875,569111.1710704787,41.790817,-87.625497
In Service,2307,CHICAGO,NB,State & 56th Street,56TH STREET,29,,STATE,NS,358830.0639131135,569315.5070819128,41.792657,-87.625538
In Service,2308,CHICAGO,NB,State & Garfield,GARFIELD,29,,STATE,NS,358825.7584943249,569485.0831441929,41.794184,-87.625573
In Service,2309,CHICAGO,NB,State & Garfield,GARFIELD,29,,STATE,FS,358823.62141403626,569562.9291321391,41.794885,-87.625591
In Service,2310,CHICAGO,NB,State & 54th Street,54TH STREET,29,,STATE,NS,358822.3904046468,569732.6416461056,41.796413,-87.625589
In Service,2312,CHICAGO,NB,5200 S State,5200 SOUTH,29,,STATE,MB,358810.5735183321,570158.4062265815,41.800247,-87.625689
In Service,2313,CHICAGO,NB,State & 51st Street,51ST STREET,29,,STATE,NS,358802.3177476576,570333.3926726979,41.801823,-87.625771
In Service,2314,CHICAGO,NB,State & 50th Street,50TH STREET,29,,STATE,FT,358776.58008046774,570542.224297046,41.803705,-87.62606
In Service,2316,CHICAGO,NB,State & 48th Street,48TH STREET,29,,STATE,NS,358785.7883673205,570938.061066741,41.807268,-87.62591
In Service,2317,CHICAGO,NB,State & 47th Street,47TH STREET,29,,STATE,NS,358779.1459791609,571139.2747765505,41.80908,-87.62597
